idx,1e,1u,2e,2u,3e,3u,4e,4u,5e,5u,6e,6u,7e,7u,8e,8u,9e,9u
179,1938,1421,1938,1421,1938,1421,1938,1421,10028,9511,1938,1421,1938,1421,2288,1771,1938,1421
180,1938,1421,1938,1421,1938,1421,1938,1421,9988,9471,1938,1421,1938,1421,2313,1796,1938,1421
181,1938,1421,1938,1421,1938,1421,1938,1421,9964,9447,1938,1421,1938,1421,2330,1813,1938,1421
182,1938,1421,1938,1421,1938,1421,1938,1421,9947,9430,1938,1421,1938,1421,2332,1815,1938,1421
183,1938,1421,1938,1421,1938,1421,1938,1421,9944,9427,1938,1421,1938,1421,2348,1831,1938,1421
184,1938,1421,1938,1421,1938,1421,1938,1421,9929,9412,1938,1421,1938,1421,2375,1858,1938,1421
185,1938,1421,1938,1421,1938,1421,1938,1421,9902,9385,1938,1421,1938,1421,2394,1877,1938,1421
186,1938,1421,1938,1421,1938,1421,1938,1421,9882,9365,1938,1421,1938,1421,2401,1884,1938,1421
187,1938,1421,1938,1421,1938,1421,1938,1421,9876,9359,1938,1421,1938,1421,2428,1911,1938,1421
188,1938,1421,1938,1421,1938,1421,1938,1421,9849,9332,1938,1421,1938,1421,2442,1925,1938,1421
189,1938,1421,1938,1421,1938,1421,1938,1421,9835,9318,1938,1421,1938,1421,2452,1935,1938,1421
190,1938,1421,1938,1421,1938,1421,1938,1421,9824,9307,1938,1421,1938,1421,2467,1950,1938,1421
191,1938,1421,1938,1421,1938,1421,1938,1421,9810,9293,1938,1421,1938,1421,2492,1976,1938,1421
192,1938,1421,1938,1421,1938,1421,1938,1421,9784,9267,1938,1421,1938,1421,2492,1976,1938,1421
193,1938,1421,1938,1421,1938,1421,1938,1421,9784,9267,1938,1421,1938,1421,2512,1995,1938,1421
194,1938,1421,1938,1421,1938,1421,1938,1421,9765,9248,1938,1421,1938,1421,2518,2001,1938,1421
195,1938,1421,1938,1421,1938,1421,1938,1421,9758,9241,1938,1421,1938,1421,2524,2007,1938,1421
196,1938,1421,1938,1421,1938,1421,1938,1421,9753,9236,1938,1421,1938,1421,2524,2007,1938,1421
197,1938,1421,1938,1421,1938,1421,1938,1421,9753,9236,1938,1421,1938,1421,2527,2010,1938,1421
198,1938,1421,1938,1421,1938,1421,1938,1421,9749,9232,1938,1421,1938,1421,2530,2013,1938,1421
199,1938,1421,1938,1421,1938,1421,1938,1421,9747,9230,1938,1421,1938,1421,2571,2054,1938,1421
200,1938,1421,1938,1421,1938,1421,1938,1421,9705,9188,1938,1421,1938,1421,2584,2067,1938,1421
201,1938,1421,1938,1421,1938,1421,1938,1421,9692,9175,1938,1421,1938,1421,2584,2067,1938,1421
202,1938,1421,1938,1421,1938,1421,1938,1421,9692,9175,1938,1421,1938,1421,2584,2067,1938,1421
203,1938,1421,1938,1421,1938,1421,1938,1421,9692,9175,1938,1421,1938,1421,2584,2067,1939,1422
204,1938,1421,1938,1421,1938,1421,1938,1421,9691,9174,1938,1421,1938,1421,2584,2067,1947,1430
205,1938,1421,1938,1421,1938,1421,1938,1421,9683,9166,1938,1421,1938,1421,2584,2067,1956,1439
206,1938,1421,1938,1421,1938,1421,1938,1421,9674,9157,1938,1421,1938,1421,2584,2067,1968,1451
207,1938,1421,1938,1421,1938,1421,1938,1421,9663,9146,1938,1421,1938,1421,2584,2067,1972,1455
208,1938,1421,1938,1421,1938,1421,1938,1421,9659,9142,1938,1421,1938,1421,2584,2067,1969,1452
209,1938,1421,1938,1421,1938,1421,1938,1421,9661,9144,1938,1421,1938,1421,2584,2067,1961,1444
210,1938,1421,1938,1421,1938,1421,1938,1421,9669,9152,1938,1421,1938,1421,2584,2067,1959,1442
211,1938,1421,1938,1421,1938,1421,1938,1421,9672,9155,1938,1421,1938,1421,2584,2067,1957,1441
212,1938,1421,1938,1421,1938,1421,1938,1421,9673,9156,1938,1421,1938,1421,2584,2067,1954,1437
213,1938,1421,1938,1421,1938,1421,1938,1421,9677,9160,1938,1421,1938,1421,2584,2067,1947,1430
214,1938,1421,1938,1421,1938,1421,1938,1421,9683,9166,1938,1421,1938,1421,2584,2067,1938,1421
215,1938,1421,1938,1421,1938,1421,1938,1421,9692,9175,1938,1421,1938,1421,2584,2067,1938,1421
216,1938,1421,1938,1421,1938,1421,1938,1421,9692,9175,1938,1421,1938,1421,2555,2038,1938,1421
217,1938,1421,1938,1421,1938,1421,1938,1421,9722,9205,1938,1421,1938,1421,2533,2016,1938,1421
218,1938,1421,1938,1421,1938,1421,1938,1421,9744,9227,1938,1421,1938,1421,2514,1998,1938,1421
219,1938,1421,1938,1421,1938,1421,1938,1421,9762,9245,1938,1421,1938,1421,2499,1982,1938,1421
220,1938,1421,1938,1421,1938,1421,1938,1421,9778,9261,1938,1421,1938,1421,2472,1955,1938,1421
221,1938,1421,1938,1421,1938,1421,1938,1421,9805,9288,1938,1421,1938,1421,2445,1928,1938,1421
222,1938,1421,1938,1421,1938,1421,1938,1421,9832,9315,1938,1421,1938,1421,2418,1901,1938,1421
223,1938,1421,1938,1421,1938,1421,1938,1421,9859,9342,1938,1421,1938,1421,2393,1876,1938,1421
224,1938,1421,1938,1421,1938,1421,1938,1421,9884,9367,1938,1421,1938,1421,2349,1832,1938,1421
225,1938,1421,1938,1421,1938,1421,1938,1421,9928,9411,1938,1421,1938,1421,2328,1811,1938,1421
226,1938,1421,1938,1421,1938,1421,1938,1421,9948,9431,1938,1421,1938,1421,2315,1798,1938,1421
