roll,pitch,yaw
211,-18.131717681884766,-9.08792781829834,-39.733314514160156
212,-18.045028686523438,-9.207691192626953,-39.79743576049805
213,-17.968555450439453,-9.468785285949707,-39.86301040649414
214,-18.022817611694336,-10.356884956359863,-39.844642639160156
215,-18.17233657836914,-11.458573341369629,-39.85527038574219
216,-18.452404022216797,-12.584070205688477,-39.83805847167969
217,-18.77643394470215,-13.581827163696289,-39.726661682128906
218,-19.044095993041992,-14.024836540222168,-39.471492767333984
219,-19.206666946411133,-14.25578784942627,-39.26502227783203
220,-19.224634170532227,-14.50838851928711,-39.15171813964844
221,-19.213428497314453,-14.971931457519531,-39.05986022949219
222,-19.260669708251953,-16.030941009521484,-39.01344299316406
223,-19.378211975097656,-17.18014144897461,-38.95119094848633
224,-19.573335647583008,-18.24390983581543,-38.90513610839844
225,-19.777050018310547,-19.180259704589844,-38.79591369628906
226,-19.996967315673828,-19.864322662353516,-38.52936935424805
227,-20.150503158569336,-20.603479385375977,-38.253047943115234
228,-20.115554809570312,-21.78839683532715,-38.11066436767578
229,-20.0648250579834,-23.1513614654541,-37.992881774902344
230,-20.04683494567871,-24.615650177001953,-37.86207962036133
231,-20.006834030151367,-25.986217498779297,-37.765411376953125
232,-19.87413787841797,-27.192598342895508,-37.81098556518555
233,-19.642114639282227,-28.194360733032227,-37.858272552490234
234,-19.38388442993164,-29.2441463470459,-37.82126235961914
235,-19.232454299926758,-30.521774291992188,-37.70096206665039
236,-19.165996551513672,-31.885133743286133,-37.62701416015625
237,-19.145923614501953,-33.134639739990234,-37.700992584228516
238,-19.0753173828125,-34.22003173828125,-37.859195709228516
239,-18.893400192260742,-34.91389083862305,-38.1234016418457
240,-18.640817642211914,-35.4625129699707,-38.40302658081055
241,-18.311574935913086,-35.924522399902344,-38.61061096191406
242,-17.97993278503418,-36.44217300415039,-38.7655029296875
243,-17.71904182434082,-36.96100616455078,-38.95769119262695
244,-17.535829544067383,-37.407955169677734,-39.14986038208008
245,-17.352039337158203,-37.6121940612793,-39.42301940917969
246,-17.105327606201172,-37.71586227416992,-39.76340103149414
247,-16.84844398498535,-37.72863006591797,-40.07674026489258
